,nflId,pressure_delta,displayName
110,44818.0,0.002104272970767729,Jamal Adams
111,46958.0,0.0020979625330717778,Chris Board
112,46083.0,0.0020787889913464483,Marcus Davenport
113,46142.0,0.0020787288645300237,Jerome Baker
114,46543.0,0.0020351035096028694,Henry Mondeaux
115,40077.0,0.002028277650361658,John Simon
116,52487.0,0.002024928686525411,Jabari Zuniga
117,43854.0,0.0020108995945005872,Brennan Scarlett
118,48268.0,0.002007717172522221,Azeez Al-Shaair
119,41502.0,0.00198551400704277,Daniel Sorensen
120,47934.0,0.0019589397061778317,Andrew Van Ginkel
121,47792.0,0.0019232244502244398,Ed Oliver
122,47855.0,0.0019167876904984324,Germaine Pratt
123,46191.0,0.0018989627763844556,Kenny Young
124,43698.0,0.0018808793581173617,Woodrow Hamilton
125,52662.0,0.0018649399594251456,Derrek Tuszka
126,44840.0,0.001831548544369213,Taco Charlton
127,42667.0,0.001817776971038665,Justin Hamilton
128,37084.0,0.0018087861917354185,J.J. Watt
129,44887.0,0.001800268598407213,Duke Riley
130,43292.0,0.0017918334890951225,Joey Bosa
131,46153.0,0.0017885180336793894,Justin Jones
132,41363.0,0.0017762914602475963,Brent Urban
133,46086.0,0.001765675772463905,Derwin James
134,53448.0,0.0017476001691362328,Jamin Davis
135,42331.0,0.001733756345382358,Efe Obada
136,47872.0,0.0017336354941385416,Bobby Okereke
137,52633.0,0.0017120160920853142,Kenny Willekes
138,48599.0,0.0016909829024783888,Albert Huggins
139,42467.0,0.001687397021342805,Kwon Alexander
140,46110.0,0.0016844638662995893,Harold Landry
141,44813.0,0.0016772603087539602,Myles Garrett
142,52605.0,0.0016743680789522103,John Penisini
143,44825.0,0.0016695436280833743,Haason Reddick
144,53502.0,0.0016680323189949692,Milton Williams
145,52525.0,0.0016595668818116778,D.J. Wonnum
146,43441.0,0.0016529803764597172,Matt Ioannidis
147,38588.0,0.0016489899015101205,Lavonte David
148,37075.0,0.0016444006456235408,Von Miller
149,53668.0,0.0016201944006147954,Jonathon Cooper
150,43325.0,0.001617035788265102,Myles Jack
151,44922.0,0.0016121987862522619,Jaleel Johnson
152,47854.0,0.0016057939558897615,Dre'Mont Jones
153,43332.0,0.001577987137981281,Austin Johnson
154,52456.0,0.0015764093052608552,Darrell Taylor
155,43377.0,0.0015750333065765796,Kyler Fackrell
156,41915.0,0.0015427940778415885,Shaquil Barrett
157,52473.0,0.0015406464148899105,Logan Wilson
158,43323.0,0.0015314342413035621,Jaylon Smith
159,44834.0,0.0015101727578028402,Charles Harris
160,47800.0,0.0015089709162499536,Dexter Lawrence
161,46081.0,0.001508607286170664,Vita Vea
162,43373.0,0.001507053961750257,Kendall Fuller
163,46438.0,0.001504469083458295,Tyler Lancaster
164,41231.0,0.0015026374480614374,Khalil Mack
165,42403.0,0.0014948359487209435,Randy Gregory
166,43062.0,0.0014906633574816933,Nick Dzubnar
167,38555.0,0.0014897366533532061,Dont'a Hightower
168,42382.0,0.001484523446826788,Eddie Goldman
169,52863.0,0.0014753824064290765,Krys Barnes
170,52481.0,0.0014749204806299555,Davon Hamilton
171,43333.0,0.0014682593984806378,Jihad Ward
172,47809.0,0.0014630874238933235,Montez Sweat
173,46487.0,0.0014595358295484298,Poona Ford
174,52846.0,0.0014571040615940394,Jonah Williams
175,44888.0,0.0014476563959274745,Alex Anzalone
176,42480.0,0.0014469111502293805,Grady Jarrett
177,53504.0,0.0014382825276258156,Osa Odighizuwa
178,52510.0,0.001424882052276066,Alex Highsmith
179,53740.0,0.001408772967712537,Josiah Bronson
180,44885.0,0.0014020768534522582,Jordan Willis
181,42869.0,0.001393906465853098,James Vaughters
182,43330.0,0.0013873071508804374,Reggie Ragland
183,52835.0,0.0013868551861420694,Michael Hoecht
184,46657.0,0.0013854087060067187,Dennis Gardeck
185,52416.0,0.001369788408567606,Isaiah Simmons
186,47793.0,0.0013603844829205504,Devin Bush
187,37089.0,0.001348597353422947,Ryan Kerrigan
188,43435.0,0.0013385788323687674,Matt Judon
189,34465.0,0.0013376875626364977,Malcolm Jenkins
190,46264.0,0.0013285615440001776,Sebastian Joseph
191,53447.0,0.0013257813408448192,Jaelan Phillips
192,47939.0,0.0013178521673877241,Justin Hollins
193,42816.0,0.0013147953958808321,Troy Hill
194,53460.0,0.0012987805570668287,Odafe Oweh
195,42436.0,0.0012926398821152011,Henry Anderson
196,42560.0,0.0012904411975292465,Rakeem Nunez-Roches
197,42401.0,0.0012899274845034326,Markus Golden
198,37240.0,0.0012685709772249994,Pernell McPhee
199,40000.0,0.0012633402567727868,Jamie Collins
200,52566.0,0.0012595823800008953,Bryce Hall
201,43350.0,0.0012588753281659554,Vonn Bell
202,52556.0,0.0012574965347298174,Alton Robinson
203,40017.0,0.0012497886988939028,Tyrann Mathieu
204,41341.0,0.0012493736480383134,DaQuan Jones
205,46135.0,0.001243119310470631,Lorenzo Carter
206,44829.0,0.0012406675818616166,Jonathan Allen
207,44847.0,0.0012403139547899724,Malik McDowell
208,44842.0,0.0012402812848729984,T.J. Watt
209,46618.0,0.0012387139230895352,Taylor Stallworth
210,35470.0,0.0012291775156378151,Jerry Hughes
211,46416.0,0.0012217459371317353,Jacob Tuioti-Mariner
212,42349.0,0.001218322529609564,Leonard Williams
213,44915.0,0.0012128919044862574,Trey Hendrickson
214,44926.0,0.0012077786257794591,Rayshawn Jenkins
215,42378.0,0.0011991911388487425,Mario Edwards
216,40030.0,0.0011976633227453325,John Jenkins
217,42433.0,0.0011974328165132188,Carl Davis
218,37087.0,0.0011961205010704555,Robert Quinn
219,52482.0,0.001195648481089295,Zack Baun
220,47917.0,0.0011931299928116363,Greg Gaines
221,52415.0,0.0011915664379501892,Derrick Brown
222,48537.0,0.001188930699643783,Carl Granderson
223,37145.0,0.0011821345094737447,Justin Houston
224,47816.0,0.0011714760165966235,Byron Murphy
225,44991.0,0.0011678028295292694,Davon Godchaux
226,47892.0,0.0011664780034919492,Khari Willis
227,47785.0,0.0011653257595322227,Nick Bosa
228,52582.0,0.0011619581319310245,Larrell Murchison
229,37104.0,0.001159641204323138,Cameron Heyward
230,47868.0,0.0011530698046383948,Jaylon Ferguson
231,47889.0,0.0011443641492901125,Maxx Crosby
232,52555.0,0.0011396609107833205,Khalid Kareem
233,53621.0,0.0011388549304245763,Quinton Bohanna
234,43301.0,0.0011378077283582609,Sheldon Rankins
235,41243.0,0.0011364138238649261,C.J. Mosley
236,46127.0,0.00112450061186013,Isaiah Oliver
237,47944.0,0.0011238778766526102,Charles Omenihu
238,52641.0,0.0011192638336039403,Casey Toohill
239,47796.0,0.0011151908741549176,Christian Wilkins
240,46197.0,0.001110428831447669,Kentavius Street
241,46165.0,0.0011081325006771267,Harrison Phillips
242,44886.0,0.0011048727378078882,Chris Wormley
243,41263.0,0.0011036260612308627,Demarcus Lawrence
244,46307.0,0.0011009340717718387,Zach Sieler
245,53978.0,0.0010879049454603142,Austin Faoliu
246,52475.0,0.001087157990529044,Julian Okwara
247,40095.0,0.001084337247522558,Steven Means
248,34777.0,0.0010831026331731175,Steve McLendon
249,53461.0,0.001074853199236969,Joe Tryon
250,43338.0,0.0010599543630192075,Jarran Reed
251,52498.0,0.0010592260476227759,Jonathan Greenard
252,38556.0,0.0010571193897981781,Whitney Mercilus
253,43378.0,0.001053141138875591,Javon Hargrave
254,43318.0,0.0010485786290198524,Robert Nkemdiche
255,52446.0,0.00104506040483375,Yetur Gross-Matos
256,43319.0,0.0010388441832484378,Vernon Butler
257,41449.0,0.0010353579710832628,Shamar Stephen
258,41403.0,0.0010347976116283995,Devon Kennard
259,48089.0,0.001032021618791784,Malik Reed
260,35442.0,0.0010233133317036486,Gerald McCoy
261,41279.0,0.001017588694954644,Jeremiah Attaochu
262,35539.0,0.0010111563585314233,Everson Griffen
263,52468.0,0.001004400230670483,Josh Uche
264,45038.0,0.0010012882319693842,Isaac Rochell
265,35522.0,0.0009990125623508767,Corey Peters
266,43455.0,0.000997153373523582,D.J. Reader
267,46082.0,0.0009944391847433287,Daron Payne
268,41919.0,0.0009903253734621573,Zach Kerr
269,52637.0,0.0009876678269834503,James Smith-Williams
270,43436.0,0.0009726313071185392,Quinton Jefferson
271,44955.0,0.0009681223793565521,Carlos Watkins
272,43335.0,0.0009675347879718574,A'Shawn Robinson
273,43372.0,0.0009630076814665071,Jordan Jenkins
274,46249.0,0.0009628851398685609,Folorunso Fatukasi
275,46098.0,0.0009621692053198075,Taven Bryan
276,47802.0,0.0009471625666190095,Jeffery Simmons
277,53073.0,0.0009469064869718207,Teair Tart
278,39960.0,0.0009463831032018159,Star Lotulelei
279,42553.0,0.0009458210838765135,Christian Ringo
